arm	seg	side	turn_id	addr	tier	reason	rank
C	E60	recent	13641	S15069/T1824	3	type-decision	16
C	E60	recent	13536	S15069/T1741	3	type-decision	17
C	E60	recent	13658	S15069/T1840	3	type-decision	18
C	E60	recent	13665	S15069/T1847	3	type-decision	19
C	E60	recent	13655	S15069/T1837	3	type-decision	20
C	E60	recent	13636	S15069/T1819	3	type-decision	21
C	E60	recent	13626	S15069/T1816	3	type-decision	22
C	E60	recent	13714	S15069/T1894	3	type-decision	23
C	E60	recent	13701	S15069/T1881	3	type-decision	24
C	E60	recent	13693	S15069/T1873	3	type-decision	25
C	E60	recent	13690	S15069/T1870	3	type-decision	26
C	E60	recent	13681	S15069/T1863	3	type-decision	27
C	E60	recent	13677	S15069/T1859	3	type-decision	28
C	E60	recent	13653	S15069/T1835	3	type-decision	29
C	E60	recent	13652	S15069/T1834	3	type-decision	30
C	E60	recent	13644	S15069/T1826	3	type-decision	31
C	E60	recent	13634	S15069/T1818	3	type-decision	32
C	E60	recent	13629	S15069/T1817	3	type-decision	33
C	E70	old	10621	S15440/T532	2	declares-index	1
C	E70	old	10108	S15440/T395	2	declares-index	2
C	E70	old	10527	S15440/T496	2	declares-index	3
C	E70	old	11064	S15440/T696	2	declares-index	4
C	E70	old	10713	S15440/T595	2	declares-index	5
C	E70	old	9696	S15440/T307	2	declares-index	6
C	E70	old	9388	S15440/T177	2	declares-index	7
C	E70	old	10964	S15440/T669	2	declares-index	8
C	E70	old	10699	S15440/T586	2	declares-index	9
C	E70	old	9614	S15440/T284	2	declares-index	10
C	E70	old	9210	S15440/T121	2	declares-index	11
C	E70	old	9452	S15440/T219	2	declares-index	12
C	E70	old	9444	S15440/T215	2	declares-index	13
C	E70	old	9059	S15440/T61	2	declares-index	14
C	E70	old	10633	S15440/T542	2	declares-index	15
C	E70	old	9959	S15440/T342	2	declares-index	16
C	E70	old	10072	S15440/T377	2	declares-index	17
C	E70	old	9555	S15440/T263	2	declares-index	18
C	E70	old	9460	S15440/T225	2	declares-index	19
C	E70	old	9111	S15440/T70	2	declares-index	20
C	E70	old	11110	S15440/T719	2	declares-index	21
C	E70	old	10714	S15440/T596	2	declares-index	22
C	E70	old	9947	S15440/T332	2	declares-index	23
C	E70	old	9915	S15440/T315	2	declares-index	24
C	E70	old	9485	S15440/T231	2	declares-index	25
C	E70	old	9029	S15440/T55	2	declares-index	26
C	E70	old	9677	S15440/T298	2	declares-index	27
C	E70	old	9588	S15440/T276	2	declares-index	28
C	E70	old	9523	S15440/T242	2	declares-index	29
C	E70	old	11018	S15440/T677	2	declares-index	30
C	E70	old	11212	S15440/T743	2	declares-index	31
C	E70	old	10441	S15440/T454	2	declares-index	32
C	E70	old	10022	S15440/T355	2	declares-index	33
C	E70	old	10657	S15440/T565	2	declares-index	34
C	E70	old	11107	S15440/T718	2	declares-index	35
C	E70	old	9575	S15440/T271	2	declares-index	36
C	E70	old	11127	S15440/T725	2	declares-index	37
C	E70	old	10540	S15440/T501	2	declares-index	38
C	E70	recent	11696	S15440/T1022	2	declares-index	1
C	E70	recent	11577	S15440/T971	2	declares-index	2
C	E70	recent	11327	S15440/T805	2	declares-index	3
C	E70	recent	11473	S15440/T899	3	type-decision	4
C	E70	recent	11570	S15440/T965	3	type-decision	5
C	E70	recent	11312	S15440/T796	3	type-decision	6
C	E70	recent	11620	S15440/T993	3	type-decision	7
C	E70	recent	11417	S15440/T853	3	type-decision	8
C	E70	recent	11674	S15440/T1014	3	type-decision	9
C	E70	recent	11663	S15440/T1005	3	type-decision	10
C	E70	recent	11649	S15440/T999	3	type-decision	11
C	E70	recent	11635	S15440/T995	3	type-decision	12
C	E70	recent	11608	S15440/T989	3	type-decision	13
C	E70	recent	11539	S15440/T948	3	type-decision	14
C	E70	recent	11538	S15440/T947	3	type-decision	15
C	E70	recent	11529	S15440/T940	3	type-decision	16
C	E70	recent	11497	S15440/T913	3	type-decision	17
C	E70	recent	11494	S15440/T910	3	type-decision	18
C	E70	recent	11490	S15440/T907	3	type-decision	19
C	E70	recent	11488	S15440/T906	3	type-decision	20
C	E70	recent	11478	S15440/T901	3	type-decision	21
C	E70	recent	11475	S15440/T900	3	type-decision	22
C	E70	recent	11434	S15440/T867	3	type-decision	23
C	E70	recent	11415	S15440/T851	3	type-decision	24
C	E70	recent	11320	S15440/T803	3	type-decision	25
C	E70	recent	11299	S15440/T786	3	type-decision	26
C	E70	recent	11307	S15440/T793	3	type-decision	27
C	E70	recent	11661	S15440/T1004	3	type-decision	28
C	E70	recent	11578	S15440/T972	3	type-decision	29
C	E70	recent	11520	S15440/T932	3	type-decision	30
C	E70	recent	11510	S15440/T925	3	type-decision	31
C	E70	recent	11508	S15440/T923	3	type-decision	32
C	E70	recent	11484	S15440/T904	3	type-decision	33
C	E70	recent	11471	S15440/T898	3	type-decision	34
C	E70	recent	11453	S15440/T883	3	type-decision	35
C	E70	recent	11451	S15440/T881	3	type-decision	36
C	E70	recent	11418	S15440/T854	3	type-decision	37
C	E70	recent	11368	S15440/T825	3	type-decision	38
C	E70	recent	11669	S15440/T1010	3	type-decision	39
C	E70	recent	11642	S15440/T996	3	type-decision	40
